month,USJ,Precipitation
2004-01,36,19
2004-02,37,47.5
2004-03,56,75.5
2004-04,43,125
2004-05,39,281.5
2004-06,41,133.5
2004-07,58,42
2004-08,60,106.5
2004-09,55,202.5
2004-10,46,356
2004-11,55,117.5
2004-12,48,88
2005-01,34,19
2005-02,31,45
2005-03,45,75
2005-04,40,47
2005-05,31,73.5
2005-06,30,69.5
2005-07,38,196
2005-08,52,79
2005-09,41,97.5
2005-10,38,145
2005-11,42,31.5
2005-12,35,31
2006-01,26,32.5
2006-02,23,102
2006-03,33,114
2006-04,31,143
2006-05,32,146
2006-06,28,169.5
2006-07,38,305
2006-08,38,44.5
2006-09,41,87
2006-10,39,73
2006-11,34,80.5
2006-12,39,102.5
2007-01,28,19.5
2007-02,27,42
2007-03,39,79
2007-04,34,41
2007-05,27,163
2007-06,26,119.5
2007-07,32,206
2007-08,36,62
2007-09,36,58.5
2007-10,35,72
2007-11,35,13.5
2007-12,33,86.5
2008-01,26,51
2008-02,21,60.5
2008-03,31,95
2008-04,25,143.5
2008-05,25,218.5
2008-06,24,190.5
2008-07,28,123.5
2008-08,31,82
2008-09,30,130.5
2008-10,31,62
2008-11,27,50
2008-12,30,55.5
2009-01,25,73
2009-02,24,95
2009-03,33,147.5
2009-04,26,98.5
2009-05,23,78.5
2009-06,22,121.5
2009-07,29,162
2009-08,33,41.5
2009-09,30,51
2009-10,26,120
2009-11,26,130.5
2009-12,24,46
2010-01,22,46
2010-02,20,132
2010-03,29,153.5
2010-04,24,143
2010-05,24,162
2010-06,23,222.5
2010-07,28,221.5
2010-08,30,37.5
2010-09,27,161
2010-10,26,172
2010-11,29,32.5
2010-12,28,84.5
2011-01,24,0.5
2011-02,24,113.5
2011-03,33,75.5
2011-04,27,92
2011-05,29,307.5
2011-06,28,200.5
2011-07,40,145
2011-08,42,189
2011-09,47,242
2011-10,46,146.5
2011-11,37,90
2011-12,35,12
2012-01,27,34
2012-02,27,96.5
2012-03,41,152
2012-04,35,92.5
2012-05,40,25
2012-06,36,291
2012-07,45,193.5
2012-08,47,141
2012-09,62,202
2012-10,55,79
2012-11,47,122.5
2012-12,39,90.5
2013-01,33,38.5
2013-02,33,92.5
2013-03,55,92
2013-04,66,108
2013-05,40,44
2013-06,43,266
2013-07,65,50
2013-08,71,128
2013-09,70,258.5
2013-10,61,210.5
2013-11,55,80.5
2013-12,51,49.5
2014-01,44,52
2014-02,44,55
2014-03,55,153
2014-04,56,72.5
2014-05,52,81
2014-06,52,74.5
2014-07,97,79
2014-08,79,341
2014-09,92,94.5
2014-10,80,122
2014-11,81,74.5
2014-12,68,79.5
2015-01,75,93
2015-02,73,25.5
2015-03,81,174.5
2015-04,60,107
2015-05,62,104
2015-06,70,196
2015-07,76,358
2015-08,86,185.5
2015-09,100,163
2015-10,88,40.5
2015-11,70,111.5
2015-12,67,90
2016-01,67,66.5
2016-02,71,81
2016-03,85,91
2016-04,67,127.5
2016-05,69,136.5
2016-06,67,325
2016-07,81,66
2016-08,83,161.5
2016-09,87,183.5
2016-10,82,42
2016-11,74,69
2016-12,72,104
2017-01,63,33.5
2017-02,67,45
2017-03,78,46.5
2017-04,72,94
2017-05,67,96
2017-06,75,167.5
2017-07,79,45.5
2017-08,93,104.5
2017-09,90,127.5
2017-10,81,430
2017-11,73,58
2017-12,66,27.5
2018-01,64,51.5
2018-02,69,28.5
2018-03,75,137