year,ratings,Maturity,sales_catch_copy_text,commission_text
1970,,,,
1971,,,,
1975,,,,
1977,,,,
1978,84,C,,
1979,80,C,,
1980,60,C,,
1981,83,C,,
1982,75,C,,
1983,87,C,これまでで一番強くかつ攻撃的な味,
1984,84,C,,
1985,85,C,近年にない上物,
1986,86,C,,
1987,88,C,,
1988,77,C,,
1989,80,C,,
1990,85,C,,
1991,87,C,,
1992,82,C,過去2年のものよりフルーティーで、軽い,
1993,87,C,,
1994,84,C,,
1995,89,R,ここ数年で一番出来が良い,
1996,91,R,10年に1度の逸品,
1997,75,C,まろやかで濃厚。近年まれにみるワインの出来で過去10年間でトップクラス,
1998,86,C,例年のようにおいしく、フレッシュな口当たり,
1999,93,R,1000年代最後の新酒ワインは近年にない出来,
2000,91,R,今世紀最後の新酒ワインは色鮮やか、甘みがある味,
2001,75,C,ここ10年で最もいい出来栄え,
2002,86,C,過去10年で最高と言われた01年を上回る出来栄えで1995年以来の出来,色付きが良く、しっかりとしたボディ
2003,93,R,110年ぶりの当たり年,並外れて素晴らしい年
2004,81,C,香りが強く中々の出来栄え,生産者の実力が表れる年
2005,95,R,タフな03年とはまた違い、本来の軽さを備え、これぞ『ザ・ヌーボー』,59年や64年、76年のように偉大な年の一つ
2006,89,R,今も語り継がれる76年や05年に近い出来,とてもうまくいった年
2007,85,R,柔らかく果実味豊かで上質な味わい,果実味が豊かでエレガント
2008,86,R,豊かな果実味と程よい酸味が調和した味,フルーツ、フルーツ、フルーツ
2009,97,R,過去最高と言われた05年に匹敵する50年に一度の出来,数量は少なく、完璧な品質。桁外れに素晴らしい年
2010,93,R,2009年と同等の出来,果実味豊かで、滑らかでバランスの取れた
2011,91,R,100年に1度の出来とされた03年を超す21世紀最高の出来栄え,3年連続で、偉大な品質となった
2012,90,R,偉大な繊細さと複雑な香りを持ち合わせ、心地よく、よく熟すことができて健全,心地よく、偉大な繊細さと複雑味のある香りを持ち合わせた
2013,86,R,みずみずしさが感じられる素晴らしい品質,繊細でしっかりとした骨格。美しく複雑なアロマ
2014,94,E,太陽に恵まれ、グラスに注ぐとラズベリーのような香りがあふれる、果実味豊かな味わい,エレガントで味わい深く、とてもバランスがよい
2015,93,E,過去にグレートヴィンテージと言われた2009年を思い起こさせます,記憶に残る素晴らしい出来栄え
2016,,,エレガントで酸味と果実味のバランスがとれた上品な味わい,エレガントで、魅惑的なワイン
2017,,,豊満で朗らか、絹のようにしなやか。しかもフレッシュで輝かしい,